TIME,DEVICE,CONSUMPTION
2020-01-01 00:00:00,D1,0.092
2020-01-01 00:01:00,D1,0.776
2020-01-01 00:02:00,D1,0.295
2020-01-01 00:03:00,D1,0.169
2020-01-01 00:04:00,D1,0.205
2020-01-01 00:04:00,D1,0.205
2020-01-01 00:06:00,D1,0.823
2020-01-01 00:07:00,D1,0.314
2020-01-01 00:08:00,D1,0.802
2020-01-01 00:09:00,D1,0.985
2020-01-01 00:10:00,D1,0.559
2020-01-01 00:10:00,D1,0.559
2020-01-01 00:12:00,D1,0.737
2020-01-01 00:13:00,D1,0.624
2020-01-01 00:14:00,D1,0.809
2020-01-01 00:15:00,D1,0.306
2020-01-01 00:16:00,D1,0.668
2020-01-01 00:17:00,D1,0.032
2020-01-01 00:18:00,D1,0.203
2020-01-01 00:19:00,D1,0.501
2020-01-01 00:20:00,D1,0.132
2020-01-01 00:21:00,D1,0.630
2020-01-01 00:22:00,D1,0.389
2020-01-01 00:23:00,D1,0.556
2020-01-01 00:24:00,D1,0.618
2020-01-01 00:25:00,D1,0.975
2020-01-01 00:26:00,D1,0.629
2020-01-01 00:27:00,D1,0.319
2020-01-01 00:28:00,D1,0.597
2020-01-01 00:29:00,D1,0.605
2020-01-01 00:30:00,D1,0.706
2020-01-01 00:30:00,D1,0.706
2020-01-01 00:32:00,D1,0.390
2020-01-01 00:33:00,D1,0.009
2020-01-01 00:34:00,D1,0.230
2020-01-01 00:35:00,D1,0.148
2020-01-01 00:36:00,D1,0.551
2020-01-01 00:37:00,D1,0.302
2020-01-01 00:38:00,D1,0.167
2020-01-01 00:39:00,D1,0.702
2020-01-01 00:40:00,D1,0.342
2020-01-01 00:41:00,D1,0.250
2020-01-01 00:42:00,D1,0.636
2020-01-01 00:43:00,D1,0.695
2020-01-01 00:44:00,D1,0.715
2020-01-01 00:45:00,D1,0.556
2020-01-01 00:46:00,D1,0.820
2020-01-01 00:47:00,D1,0.703
2020-01-01 00:48:00,D1,0.177
2020-01-01 00:49:00,D1,0.918
2020-01-01 00:50:00,D1,0.105
2020-01-01 00:51:00,D1,0.353
2020-01-01 00:52:00,D1,0.829
2020-01-01 00:53:00,D1,0.206
2020-01-01 00:54:00,D1,0.437
2020-01-01 00:55:00,D1,0.286
2020-01-01 00:56:00,D1,0.849
2020-01-01 00:57:00,D1,0.283
2020-01-01 00:58:00,D1,0.237
2020-01-01 00:59:00,D1,0.475
2020-01-01 01:00:00,D1,0.723
2020-01-01 01:01:00,D1,0.375
2020-01-01 01:02:00,D1,0.099
2020-01-01 01:03:00,D1,0.218
2020-01-01 01:04:00,D1,0.537
2020-01-01 01:04:00,D1,0.537
2020-01-01 01:06:00,D1,0.959
2020-01-01 01:07:00,D1,0.811
2020-01-01 01:08:00,D1,0.729
2020-01-01 01:09:00,D1,0.532
2020-01-01 01:10:00,D1,0.363
2020-01-01 01:11:00,D1,0.455
2020-01-01 01:12:00,D1,0.817
2020-01-01 01:13:00,D1,0.865
2020-01-01 01:14:00,D1,0.952
2020-01-01 01:15:00,D1,0.180
2020-01-01 01:16:00,D1,0.706
2020-01-01 01:17:00,D1,0.986
2020-01-01 01:18:00,D1,0.327
2020-01-01 01:19:00,D1,0.678
2020-01-01 01:20:00,D1,0.414
2020-01-01 01:21:00,D1,0.330
2020-01-01 01:22:00,D1,0.990
2020-01-01 01:23:00,D1,0.746
2020-01-01 01:24:00,D1,0.171
2020-01-01 01:25:00,D1,0.726
2020-01-01 01:26:00,D1,0.156
2020-01-01 01:27:00,D1,0.698
2020-01-01 01:28:00,D1,0.151
2020-01-01 01:29:00,D1,0.208
2020-01-01 01:30:00,D1,0.857
2020-01-01 01:31:00,D1,0.481
2020-01-01 01:32:00,D1,0.291
2020-01-01 01:33:00,D1,0.771
2020-01-01 01:34:00,D1,0.880
2020-01-01 01:35:00,D1,0.446
2020-01-01 01:36:00,D1,0.987
2020-01-01 01:37:00,D1,0.462
2020-01-01 01:38:00,D1,0.799
2020-01-01 01:39:00,D1,0.672
2020-01-01 01:40:00,D1,0.749
2020-01-01 01:41:00,D1,0.427
2020-01-01 01:42:00,D1,0.542
2020-01-01 01:43:00,D1,0.516
2020-01-01 01:44:00,D1,0.267
2020-01-01 01:45:00,D1,0.049
2020-01-01 01:46:00,D1,0.695
2020-01-01 01:47:00,D1,0.563
2020-01-01 01:48:00,D1,0.719
2020-01-01 01:49:00,D1,0.131
2020-01-01 01:50:00,D1,0.009
2020-01-01 01:51:00,D1,0.495
2020-01-01 01:52:00,D1,0.559
2020-01-01 01:53:00,D1,0.121
2020-01-01 01:54:00,D1,0.393
2020-01-01 01:55:00,D1,0.480
2020-01-01 01:56:00,D1,0.479
2020-01-01 01:57:00,D1,0.775
2020-01-01 01:58:00,D1,1.000
2020-01-01 01:59:00,D1,0.539
2020-01-01 02:00:00,D1,0.717
2020-01-01 02:01:00,D1,0.264
2020-01-01 02:02:00,D1,0.894
2020-01-01 02:03:00,D1,0.048
2020-01-01 02:04:00,D1,0.387
2020-01-01 02:05:00,D1,0.676
2020-01-01 02:06:00,D1,0.168
2020-01-01 02:07:00,D1,0.929
2020-01-01 02:08:00,D1,0.040
2020-01-01 02:09:00,D1,0.054
2020-01-01 02:10:00,D1,0.341
2020-01-01 02:11:00,D1,0.328
2020-01-01 02:12:00,D1,0.258
2020-01-01 02:13:00,D1,0.606
2020-01-01 02:14:00,D1,0.289
2020-01-01 02:15:00,D1,0.576
2020-01-01 02:16:00,D1,0.662
2020-01-01 02:17:00,D1,0.477
2020-01-01 02:18:00,D1,0.989
2020-01-01 02:19:00,D1,0.992
2020-01-01 02:20:00,D1,0.361
2020-01-01 02:21:00,D1,0.539
2020-01-01 02:22:00,D1,0.870
2020-01-01 02:23:00,D1,0.693
